,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
COGNITION,0.1859012430804871,0.13523461624091596,-0.024727558127126677,-0.07249705787546935,0.11039745171214926,-0.03471728115107722,0.09970732920831468,-0.1928688576200197,0.048359378528863045,0.07286465399412538,-0.04606685317624833,-0.10845542594866128,0.05831546779164642,0.11090489746507148,-0.12500760671812047,0.09257239856819599,-0.020059647238261948,-0.1587588103486143,-0.11668053883206993,0.07925393476499015,0.3135162482779056,-0.1058056687213466,0.03241470270423298,-0.08661439760133754,0.04639866680054745,0.060826803200991514,0.0039223646407831195,-0.1081391122487036,0.24344683822375246,0.22948173404731545,0.02118154351407478,0.5350288718087467,0.30546605772591306,0.08828435815591214,0.3006151654759571,0.10890908789296713,0.14198631553520003,-0.042150802319214045,0.11883557066533548,-0.013861889456585105
COLON_SCREEN,-0.11056671317396842,0.061327613956688315,0.3446955816599891,-0.007644797297382975,-0.19816973511653324,-0.08481076002665529,0.10425972652783769,-0.13435962634647192,-0.03158433268730891,0.01208182713529482,-0.20733981583589156,0.5304841352740821,0.45479855252570656,0.4092983072087491,0.14990683658752013,0.12132226096104683,-0.16221514369295958,0.002511257966286873,0.020221308750231266,-0.04025000042003579,-0.006127739003929267,0.06820542234505136,0.09392561167798848,-0.023780696995396755,0.04661681315688812,0.0030601546141533764,-0.008037638650652911,0.00790354285646034,0.03891775251689545,-0.004773600199506606,0.06516122000618171,-0.03605270966097333,-0.014693910861528742,0.0006380744641089064,0.01995685060637531,0.006097470381113863,-0.006387632079975225,-0.008389845147153865,0.0006752966736830804,-0.008170489944076417
COPD,0.17416168085443187,0.21195664361454405,0.04073499424899838,0.05456318566058035,0.04141296193829314,0.055678367818292815,-0.05331517664081986,-0.0010553998239442308,-0.17754961669929648,-0.020701717643710926,0.04047593634446546,0.07990845176788092,-0.12706574851692842,-0.03328782246780615,-0.048619737117025774,0.0007320821597589233,0.05376686740402897,-0.10987113357783965,0.08294024207873793,0.0886448015834937,-0.003033937331847966,-0.16865647694791858,0.24171480914143817,0.17207702281924053,0.1448587648658479,0.11715429548841036,-0.2924205691109215,0.027963999390720015,0.06708151100693793,-0.22949631619930655,0.49223209764037057,-0.21176555233133035,0.2305423811569786,-0.101216189584557,0.247327518130493,-0.20602634920883225,-0.03960043054855969,0.0059038736625594695,-0.2579051857480108,-0.07890092708616046
CSMOKING,0.1677694973032728,0.20286536604530522,-0.009659257996647647,0.1850357508937435,-0.03299295418579465,0.1255339122306907,-0.04881573016725599,0.006803042492042305,-0.16211682175453135,0.02809191452376425,-0.060148328638373105,0.03571633007711433,-0.06537563813379016,-0.06620804014914426,-0.05208606414538308,0.2365830305674447,-0.005816457007144324,0.1925196087883433,0.3757482804764679,-0.09326481201990683,0.14709084101203707,-0.11989857313972352,0.43173636499279505,-0.08733495207227178,0.025551791330829687,0.19530656871398205,0.020684640490017635,-0.2641791090035821,-0.18879944757509454,-0.10940035679900134,-0.2572791897673813,0.15433930074196134,-0.2576213607336725,-0.12226034139211699,-0.04326820593204628,0.10912852968752576,-0.05476787242168113,-0.01086462648145893,0.09283205207736028,0.08538700297090301
DENTAL,-0.1497901575746857,0.098323115465087,0.00999766519587086,-0.06146575142841805,-0.17690121844624154,0.0006065548711017897,0.5862420635211724,0.4903969923502998,-0.32994114378011874,-0.029379727345045598,-0.13366981458488814,-0.08682360543587905,0.16041638420579626,-0.11242164057505455,-0.2470168241819422,-0.03975781081781676,0.16288670816107811,-0.07029115871335911,-0.03481134578091706,0.11957696383744919,0.07908811636466057,0.1179506166845955,0.02910333063593193,0.024271994353906583,-0.12334717918264612,-0.055878103285855296,-0.09461821052341102,-0.06276566454196233,-0.06356505047885339,0.026877517823532295,-0.015512782444337903,0.04210194910810863,-0.00026176775455000016,0.014531173967815711,0.006148163775497609,-0.02783610164305106,0.04943694884688399,-0.009210425826606555,-0.047369945792091694,0.008073280473293934
DEPRESSION,0.054316499882131816,0.3633000191090423,0.10162216836362502,-0.24613371984383414,0.035606555397435805,0.10607534362668218,0.257900399255436,-0.1894718686382765,0.2826203379026282,-0.1866357439080073,0.08723865382626417,-0.20332940410182915,0.1626479624867092,0.08811319574413894,-0.2514198885132681,-0.22172094165105283,-0.1826117492840722,0.15378876382978637,0.2739888649527862,-0.11789369810855693,-0.27366599540034886,-0.145758998908055,-0.22074399840413522,0.09609507602955081,0.012462965184555426,0.15118630001985509,-0.10350882142537918,-0.015018317786706398,-0.10759317732167872,-0.030176919317721186,-0.06512304643438174,-0.019706856533844318,0.051728672443765486,-0.0650495528197177,-0.05841534298442523,0.052220215237373496,-0.0006274579707015726,-0.05203993140657215,-0.034220446145223404,-0.03013915737489241
DIABETES,0.18728094427293318,-0.13490832008522824,0.053302515669970636,0.056975165068749216,-0.031866783100089266,-0.031151472533345298,0.12706720836987145,0.03771498264428142,0.015328898853872452,-0.05047610011476522,0.03728262393828785,0.1444516315951852,-0.05051450096937568,-0.08576340622229067,-0.019410467137137837,-0.1644711666710362,-0.06281794841417969,0.1999128659203982,0.045685810702724386,-0.025468638077400074,-0.200620684586231,-0.15799751039565113,0.10539340139750732,-0.06108631407685344,-0.23718885605888707,-0.2710284522124959,0.49452096930368256,-0.4333349802994477,0.08616727711038386,0.00796479699690519,0.13562570699508048,-0.06331463535066374,0.2837613785275424,0.04021025050429398,0.08219251119166739,0.10934044430107698,-0.07364473684947671,0.09603349403492493,-0.15301691933459166,0.03416048490228579
DISABILITY,0.19136841202257276,0.06705706921184156,-0.03409545975429544,-0.008973426495492298,0.14047272555814722,-0.08897321384297091,0.10441192047110474,-0.14695435205648816,0.10378463841086047,0.035957483670865764,-0.151020162326727,-0.20176264882984968,0.12013189154840101,0.12425971267367797,-0.056988932532864967,0.05964839851515302,0.013909340724868574,-0.07521154742668346,-0.19804430696089415,-0.11787242938920821,0.2721735862537671,0.10770922774410327,0.00764717258308896,0.1251236826480994,-0.05121463513171132,-0.2088394230220555,-0.03384263679266648,-0.19340206271027036,0.23890347203353507,-0.3303654601603301,-0.31962463719910317,-0.207604310669466,-0.05248175273969788,-0.09222040813424429,-0.058054281096378606,-0.2645802230339421,-0.27658547513399917,0.23501956917276,-0.10934973070911294,-0.017025741546792345
EMOTIONSPT,0.15561437343831724,-0.1660136049863779,-0.013503035449436665,-0.1611442712363384,-0.16719671515900794,0.25805703068851404,-0.32450760451111926,-0.04894227395128792,0.05136040823704534,-0.020314833022549855,-0.2964590494867181,-0.17940424380025521,0.3598493798584676,-0.08104385293923194,0.01500131888384778,-0.05341986288901178,0.22384188550729284,-0.15815507822488972,0.25086160568070803,0.3785477776439807,-0.11291908892557723,0.08954085121781974,0.027703378822490382,0.12071493700934992,0.11399078697881934,-0.2316721594563242,-0.052477321832750334,-0.13884418882275384,-0.059195352830739914,0.04308202161806296,0.02411396215227496,0.10432169770121433,0.04675497425761669,-0.08707815591590534,-0.11908735516715721,0.06427460468437667,-0.003239321061184186,0.01933430114040309,-0.07555424878670015,-0.020241828413291474
FOODINSECU,0.18991593098972687,-0.13134292852907078,-0.036181700228220454,-0.017419577523354525,-0.14845228232524937,-0.05362494193639919,-6.768948003299704e-05,0.00463177513274514,-0.03192489552975648,-0.05353620271105998,-0.06221317512233851,-0.012923522455343728,0.02605343212397187,0.02078683087687372,0.0030336206044878633,-0.09279946698520694,-0.009370969148775832,-0.06299990234424205,0.05436759543154711,0.023879500445197127,-0.09811265838472918,-5.27820667403367e-05,-0.11773776290023173,-0.0430701159483374,0.001662159872738024,0.017965151444865768,-0.09161371030683543,-0.018444214280277982,-0.22347128521611503,-0.22714531263759813,-0.06937993632110354,-0.18703054424495505,0.038875310036933064,0.1630934637921481,0.4928476828348838,-0.04971582472887457,0.0802444592298365,0.244920780148901,0.5554713311601825,0.2659139257813897
